,sentence,emotion
52,We'll terrorise the whole state .,1
53,Don't you ever say that to me again .,1
54,Let's change the subject .,1
55,"Look , if I'd have been careful piloting that reconnaissance plane during the war , you wouldn't have had the chance to take the pictures that won you a medal , and a good job , and fame and money .",1
56,He's mad . It was an accident .,1
57,You'll stump to [LOCATION] with the rest of us .,1
58,"[PERSON] , you're losing your family !",1
59,How about what the hell you're doing in there to begin with ?,1
60,"Now , that doesn't go in there .",1
61,You're wet !,1
62,I won't have this conversation carried on by the children .,1
63,[PERSON] must be crazy .,1
64,"Everybody calls you plain [PERSON] , why can't I ?",1
65,"No , I don't want no drink .",1
66,Now get the smile off your face .,1
67,Enter !,1
68,I was at home with my baby mother !,1
69,I hope you get in trouble some day !,1
70,Stripped of all that it's no wonder they become suicidal .,1
71,"[PERSON] , shall we continue to plan ?",1
72,After them ! After them !,1
73,"Yes , I'm talking about honour , not ideology .",1
74,How you helped steal an election .,1
75,Give me the money .,1
76,If by the third count you and your officers are not on the way to work I will give the order to fire .,1
77,I will not return to prison .,1
78,"Drop it , okay ?",1
79,"Can I have my store back , now that she's going ?",1
80,"Do not think that I do not agree with everything you say , [PERSON] , but I. . .",1
81,Your whole story about how [PERSON] got his name on the door is bullshit !,1
82,"We are looters , we are not murderers .",1
83,All right . Let's go .,1
84,A lot of junk all right ...,1
85,Are you saying you're insane ? Is that your defense ? - Plus she took a lot of prescription medicine .,1
86,"So are you , but I admit it openly .",1
87,"Clowns carry horns , little rubber ones .",1
88,"For if I'm not physician , how is it I know that you're a dying man ?",1
89,He could go anytime . - Move . Move !,1
90,"Mind your own business , would you ?",1
91,"If the rights of the individual are not respected by the group , the group can not exist .",1
92,But I just escaped from here ! Don't you understand ?,1
93,You know what I'm asking .,1
94,That's it !,1
95,I said pay him !,1
96,"Hell , I guess so . You guess so . Well , that's beautiful .",1
97,Why don't you like him ?,1
98,"Well , we're there for the oil . Let's not pretend .",1
99,You heard what she said .,1
100,What is with you ? What goes with you ?,1
101,"No , thank you . No , thanks .",1
102,If you want Mr. [PERSON] to leave this house alive you must convince him you're healthy and happy .,1
103,"Uh , not very long .",1
104,"Well , do you plan everything ?",1
105,Because I already have it .,1
106,"Please , [PERSON] , ple ... - You have to love me ,",1
107,"If you hadn't promised so faithfully , I wouldn't have planned the whole thing .",1
108,Shit .,1
109,"Meaning what , that I have no money ? - l don't know .",1
110,"Lieutenant , what the hell is that thing ?",1
111,You just made it up .,1
112,Let me try .,1
113,Don't change the station .,1
114,I'll stay here and shoot him if he comes back .,1
115,"Look , if you don't want me in your Army , kick me out ... but get off my back .",1
116,Where the hell are they ?,1
117,You made me give up my secrets when I was feeling particularly vulnerable .,1
118,or jeopardized our sources and methods .  ,1
119,"Get off ! - Outside , please .",1
120,"Emotionally , she's a child .",1
121,I will go to the village to speak with our agent because of the counts of the real estate .,1
122,We were robbed !,1
123,"Whaddya trying ' to do , make it a short day ?",1
124,I've never had anyone make me feel as cheap as you did today .,1
125,"It's the blood , bone and sinew of this democracy that great men handed down to the human race !",1
126,Be quiet !,1
127,"[PERSON] , the lawsuit's dead . We don't have a plaintiff .",1
128,What do I care about your philosophy of the soldier ?,1
129,"You dress like this , you attract attention to me .",1
130,What the hell are we doing here ?,1
131,You rat !,1
132,The damn insurance company won't cover you without a screen . I see .,1
133,"Then , unless you want to spend the next 20 , years of your life in prison , you will do exactly what I tell you , when I tell you .",1
134,"Lots of votes taken , but nothing has happened .",1
135,"They didn't shut me up , you did .",1
136,"Oh , he didn't do it for you , [PERSON] .",1
137,"It's still my hat , you know .",1
138,Anybody can type .,1
139,"Yeah , I'm aware of that . And they have all of them .",1
140,I've had it up to here .,1
141,You damn fool ! I told you to get off this case !,1
142,And the other time .,1
143,Who in the hell you looking for ?,1
144,Don't you see me standing right here ?,1
145,Stay where you are !,1
146,"I am speaking strictly , [PERSON] .",1
147,"Yeah , like what ?",1
148,I do not know !,1
149,That doesn't make him yours .,1
150,"I mean , we're talking about one day of work . A day in which I was tied to a cactus and assaulted by snakes .",1
151,You realize your contacting the saucer violated our instructions .,1
152,Finish her !,1
153,We'll have him watched from now until the day he sails .,1
154,"I'm an American citizen , buddy !",1
155,"Well , give me a coordinate !",1
156,Down with the King .,1
157,"I ain't giving you shit . I said I'd play you even , I play you even .",1
158,"Well , I'm no loser .",1
159,Why do men think marriage is the only thing we want ?,1
160,We're gonna leave you . Do what you have to do .,1
161,"Come on , [PERSON] . This is no place for a clergyman's son .",1
162,I'll make [LOCATION] look like a little place where the monks live .,1
163,"[PERSON] , I'm disappointed in you . Hiding under a nest while [PERSON] needs help .",1
164,Some creep got into her place and strangled her .,1
165,I'll put an end to it .,1
166,Could you guys shut up in there ?,1
167,It's Oextry I want to see squirm .,1
168,"They've been running right by me all day , Kid .",1
169,Throw him in the car .,1
170,"I try to instil them a notion of order and method , and they always disappear for the bar !",1
171,Get it and no one'll get hurt .,1
172,"I warn you , colonel if I am to die , others will die before me .",1
173,"[PERSON] , move it !",1
174,l want to see her .,1
175,"Getting raped on a daily basis by upwards of adults a day , having at these seventh grade kids any way they want .",1
176,"So , if you folla us again , I chop your arms off , OK ?",1
177,You can tell him that for the both of us !,1
178,"Oh , hell !",1
179,Come on . The whole point of these takeovers is to sell off the assets and put old farts like me out to pasture .,1
180,Hit him !,1
181,Tell the boys anyone caught arguing with a depositor will be fired .,1
182,I won't let [PERSON] live like this .,1
183,You gave him a plane without checking with Operations ?,1
184,The devil with him !,1
185,"Well , he'd better be if he's gonna remain anything at all .",1
186,"Just let my man shoot here , okay ? Just take it easy . $ on this .",1
187,Or did you think to find me grown gray completely ?,1
188,"No , get away from her you fucking old bitch !",1
189,"Shoot , Lieutenant .",1
190,Turn all of that administrative bullshit to Mac .,1
191,The absence of a plan is ridiculous .,1
192,You also said you had money .,1
193,I do not peek .,1
194,No . Decide already !,1
195,He's sure gonna bear down on me .,1
196,Bastard !,1
197,Not another word !,1
198,Get on !,1
199,Let me in !,1
200,He blows it .,1
201,Ka - rumph ! We were smashed to port .,1
202,Why didn't you help me ?,1
203,"This ain't your personal little war , you know .",1
204,"I said it , damn you .",1
205,"You play , you pay .",1
206,"And you wouldn't give a bent kopeck for his chances , the way he kept admitting over and over that he killed the old lady .",1
207,Fuck !,1
208,"Well , for god's sake , it's my account .",1
209,"That's what you're always talking about , helping other people out !",1
210,Tell them to open the door !,1
211,I can smoke you out of there easy .,1
212,"Fuck off , [PERSON] .",1
213,Once you're out of here never come back !,1
214,You don't know ?,1
215,I'm not talking about him .,1
216,"We have a democratic process , where all these sort of sensitive issues will be handled legally , we do not .",1
217,"Sweet musical [PERSON] , that's your friend ?",1
218,Kaili ...,1
219,This report ? - No .,1
220,Why don't you  try it ? ,1
221,Things like that are none of our business .,1
222,"In fact , we have so much evidence that Dr. J.[PERSON] [PERSON] , who was in charge of project Blue Book for the Air Force , stated that it's an embarrassment of riches .",1
223,Let's hurry up and bury this bastard . I'm fucking knackered .,1
224,He'll take orders all right .,1
225,"I know everything , [PERSON] .",1
226,But a crime was committed here and I'm going after her for it .,1
227,You know the rules about smoking .,1
228,You protest too much .,1
229,And now they've lost it .,1
230,Why have you no hangover ?,1
231,Get out .,1
232,"You do it again , and you lose a limb .",1
233,"What the hell is going on here , [PERSON] ?",1
234,"Yeah . Well , [PERSON] is the only name we've got .",1
235,"If you ever had a sense of humor . When you finish testifying ,",1
236,"God , it was bright .",1
237,I'm going to destroy all of you evil monks,1
238,"Come on , man . I feel fucked up already .",1
239,"He's a tortured , bitterly neurotic man who's finishing life on his own terms .",1
240,Why didn't you tell me before my wife left ?,1
241,"If I wanted to come in , no lock could keep me out .",1
242,"First we steal his gun , then we shoot .",1
243,"Have a think , Barley .",1
244,I don't want my picture taken .,1
245,We're not gonna forfeit .,1
246,It wasn't up to my mother .,1
247,The fleet didn't order us to manoeuvre at discretion .,1
248,"Their style , but where the hell did they go ?",1
249,"If that's humor , don't bother .",1
250,Yet you let [PERSON] know you'd drag it in at any opportunity .,1
251,Was this clown such a bad guy ?,1
252,I refuse to answer that question .,1
253,I asked you a question .,1
254,What are you trying to say ?,1
255,You ain't calling the tune !,1
256,which makes twice today .,1
257,I told you to not let them out of your sight !,1
258,Now where the hell am I ?,1
259,Oh ... innocence can be hell .,1
260,"I've had a hell of a time after I've told this story , but I continue to tell the story because I think it's important for people to understand that this sort of shit goes on in the government !",1
261,"The door swings both ways , my ass .",1
262,[PERSON] accuses [PERSON] of introducing a boys camp bill for his own profit !,1
263,You can't see him because you're not dead yet .,1
264,Get that goddamn thing on film !,1
265,"You mean , a little kid kinda boy ?",1
266,Give us the f. . .,1
267,And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .,1
268,They have every right to invade ours .,1
269,Go ! Out of here !,1
270,Bigger than you .,1
271,You might as well dump it !,1
272,Blast off .,1
273,I can't get it out of my head that [PERSON] was responsible for the camping thing .,1
274,He wouldn't tell us a goddamn thing .,1
275,Bring my gun when you come back !,1
276,"Every time I run into you , you tell me whatever shady thing just went down was about the greater good or that it didn't happen , or this , that , or the other .",1
277,Turn off that goddamned alarm !,1
278,"What do you want , Cat ?",1
279,Give him $ .,1
280,Don't come no closer !,1
281,What could possibly be the matter ?,1
282,He's got another woman !,1
283,I don't know why he gets so worked up over unimportant things .,1
284,You shut up !,1
285,"I got enough to put you away for a long vacation . So like it or not , as of now you're working for me , understand ?",1
286,"[PERSON] päätti ottaa teidät [PERSON] tilalle ? , Why didn't you tell me ?",1
287,Get in the car !,1
288,What am I supposed to do ? Go to a halfway house for wayward SAG members ?,1
289,We'll be in touch .,1
290,And all that crap .,1
291,Will you shut up ?,1
292,"It is not my [PERSON] , [PERSON] .",1
293,"Tried to save a girl , kind of queered his mind too .",1
294,You son of a bitch !,1
295,He forgot ?,1
296,Fuck it !,1
297,"You're a fool , you're bagged - out with sauce .",1
298,There could have been better answers to some of the questions .,1
299,"Come on , I'm old enough to be your father .",1
300,You put your head in the sand .,1
301,Give the old man a drink .,1
302,Designed to make your life a more annoying place to be .,1
303,Hustled her off in a chopper .,1
304,Yeah ! Yeah ... Yes !,1
305,"Just this once , [PERSON] , why don't you empty your own ashtrays ?",1
306,You can put that away .,1
307,You saying I got no brains ?,1
308,Just get going .,1
309,And how is that different than all the times you risked me ?,1
310,You ain't gonna get nobody to come out here .,1
311,Cleaning up your shit .,1
312,Get your hands off him or I'll call the Metropolitan scuffers !,1
313,Halt negotiations immediately .,1
314,Get back in ranks !,1
315,Drop gun .,1
316,You wait till you see what I do to him !,1
317,"No , we're not done but you are .",1
318,Don't try to tell me my business .,1
319,I got a goddamn campaign to win .,1
320,"No , no , they don't .",1
321,I don't see why my son shouldn't be getting his own allowance .,1
322,I have rights .,1
323,What do you care ?,1
324,Too long .,1
325,It hurts !,1
326,God took them because of my wicked thoughts ! No .,1
327,Enough of your tricks !,1
328,"See , Congress is no different than the rest of the country .",1
329,"It was self - defence , for [PERSON]'s sake !",1
330,"Fuck it , man .",1
331,All this talk's just wasting time .,1
332,"You'd want your mommy too , if you had to say all this . - Cut !",1
333,"Mitä nyt ? , [PERSON] , please .",1
334,"We needed to see what you were capable of , [PERSON] , and I've a family to protect .",1
335,Drive !,1
336,Five more minutes . - No !,1
337,Then why the hell are we here ?,1
338,"Shut up , [PERSON] . If you repent , hand that stolen money over to me .",1
339,"The president would like to be a friend to you , but you're making it very difficult .",1
340,It's good you no understand my mother . It's liar .,1
341,"Now , you listen to me .",1
342,This bloody sod accused me of stealing me mate's grub .,1
343,My client was wrongly accused .,1
344,I hope you're not implying that the caucus shouldn't have a voice in international affairs .,1
345,Do you have to make such a racket ?,1
346,Don't you recognize me ?,1
347,You threatened her if she told me .,1
348,Open the door !,1
349,What baby ?,1
350,My life is none of your business .,1
351,With you guys it's always bad timing .,1
352,And you wan na know what else I think ?,1
353,You said the party's over .,1
354,It would be a start if you'd let [PERSON] go .,1
355,Why don't you back the hell off of her ?,1
356,Turn back the clock ?,1
357,Speak up or I'll shoot .,1
358,Get out of town !,1
359,You can not kill a man's family and talk about human rights .,1
360,"If you don't mind , you owe me two more for tiring out my cattle .",1
361,"My good [PERSON] , the Lady Inglethorp is killed and it is necessary to know everything to be able to avenge it .",1
362,Take him to the stockade !,1
363,What the hell's going on here ?,1
364,Things'll be different when [PERSON] gets back .,1
365,What's this bullshit ?,1
366,Is there no justice in the world ?,1
367,"So , fuck it . I figure I've got to straighten him out a little bit .",1
368,"What am I supposed to do , sound like a hick just to make her happy ?",1
369,I put my ass on the line for nothing !,1
370,I don't feel like answering any more questions .,1
371,You get lost ?,1
372,I'm not interested in what you think .,1
373,Tell them to hurry it up .,1
374,"Give him a break , would you ?",1
375,"Not like this . I mean , fuck him .",1
376,You tell her .,1
377,I don't care what it costs !,1
378,It was mainly the beer I had with dinner mixed with the pain medicine I still take for when you shot me in the ass .,1
379,Who are you ?,1
380,"I am warning about you , [PERSON] ,",1
381,You'll never take my child out of this house .,1
382,Sit ... down .,1
383,When a threatening power lands in our capital we don't meet them with tea and cookies .,1
384,We don't like him .,1
385,Don't tell me to take it easy !,1
386,And I hate these fucking doughnuts .,1
387,She's in the bathroom .,1
388,What for ?,1
389,"Oh , it's your fault she's gone June ,",1
390,You're not gonna give us any trouble about it .,1
391,I can't get this blasted thing started .,1
392,Cool it ! Or you're gonna get the same thing your boyfriend got .,1
393,But he kept it to himself . He kept a lot to himself .,1
394,Fool .,1
395,Now you've had it !,1
396,I should've killed him when I had the chance down in [LOCATION] .,1
397,"Maybe I do , maybe I don't , but you might get yourself arrested on federal charges if you don't stop what you're doing .",1
398,Monsters devouring human flesh .,1
399,If you ask you're going to get an absolute no .,1
400,Max . See that guy out there with the wog ?,1
401,You're forcing us to take action against you .,1
402,Now you listen very carefully .,1
403,Shut up or you're dead !,1
404,My argument with [PERSON] had nothing to do with any sudden realization .,1
405,Don't think my Pa was a pervert then .,1
406,"You can't take a bill nobody's heard of and discuss it among 96 , men .",1
407,Just leave him alone !,1
408,Outrageous !,1
409,Cut the shit .,1
410,I'll get even with you . I'll get even with you .,1
411,You listen to me .,1
412,"He's not even in yet . Well , you tell him not to file anything .",1
413,Damn you !,1
414,You think I don't know why you got me down here on this cockamamie case ?,1
415,That woman as the equal of man is entitled to equality before the law .,1
416,Bad news . Your father cleaned out your bank account to pay for the damage to his store .,1
417,You can't land here without written permission !,1
418,"Let go , you asshole !",1
419,"Give me my clothes , please .",1
420,I won't take it !,1
421,"Uh ... Yes ? No offense , but I think",1
422,I'm against whatever you're planning .,1
423,Knock it off !,1
424,We're running out of time .,1
425,Up ! Shut up !,1
426,Put the man in the cauldron immediately,1
427,Why are you looking at me ?,1
428,"Well , that broke that up .",1
429,"[PERSON] was that he had a co-conspirator who laundered the money for him , but no one could figure out who it was .",1
430,I called him a liar .,1
431,He forgets easy what that money cost me .,1
432,"Don't push me too far , [PERSON] .",1
433,"Yes , I do . - No , you can't !",1
434,I'll give her your message with my whole army .,1
435,"Of course I'm talking about Delta , you twerp !",1
436,I don't believe you !,1
437,Where's the money ?,1
438,"[LOCATION] is up for grabs , the spoils of our once fine city going to the ruthless scum who can spread the most carnage and blood in our streets .",1
439,"Come on , get up .",1
440,Stop ! Who goes there ?,1
441,Wait till they get a load of me .,1
442,"Your friend's a crook , a liar and a thief .",1
443,The bastard [PERSON] betrayed us,1
444,We expected you to come in here with a plan .,1
445,"I - I know , I know .",1
446,What are you saying ? Read the fine print .,1
447,Why can't this guy stay on the ground ?,1
448,You heard what I said .,1
449,I'm gonna leave .,1
450,Do I have to find out for yourself ?,1
451,I live in a fucking bed - sit .,1
452,I'm not testifying .,1
453,See ? I might as well be in a Mother [PERSON] .,1
454,They notified me .,1
455,You think you're the only guy in this paw that wants out ?,1
456,Keep your men here !,1
457,I told him not to expect me to pull the [PERSON] into shape overnight .,1
458,You naughty boys .,1
459,I don't got ta pay you for that .,1
460,Who dares to ....,1
461,"Yes , should to kill .",1
462,We are not gonna pay you nothing .,1
463,"You let me down , [PERSON] .",1
464,"Did you get drunk , dance in your underwear , and sing sea shanties ?",1
465,We already know that,1
466,Wait a minute .,1
467,"Anyway , we're late for school .",1
468,I hardly think you're in a position to judge me .,1
469,I'm sorry .,1
470,Fuck it . I start with me .  ,1
471,Where's [PERSON] ? Who cares ?,1
472,Don't touch me .,1
473,That's why you're getting older and she's getting younger !,1
474,You never said a goddamn word about a tilting hydraulic body .  ,1
475,You touch [PERSON] again and I'll kill you .,1
476,Hit the one in the middle .,1
477,This ain't no poor farm .,1
478,You can't leave me with Ma !,1
479,What's the matter with you two ?,1
480,Objection overruled .,1
481,You see murder ! You see guts !,1
482,That was our only way of finding out what was going on !,1
483,"False alarms were common , And they didn't help our morale .",1
484,Goddamn it .,1
485,[PERSON] and [PERSON] . They make the mafia look like Brownies .,1
486,You were too rough the last time !,1
487,And if I refuse to sign it ?,1
488,The World ls Going Up In Flames  ) ,1
489,"l can't stand this shit . - Hey , [PERSON] , please .",1
490,My unreliable helmsman failed to warn me about that .,1
491,Pablo !,1
492,Not even the pleasure of seeing you free ... Can make up for this ... This disgrace to the cause of justice .,1
493,Dickhead .,1
494,"[PERSON] , what's going on ?",1
495,You can give me two dollars extra for making me nervous .,1
496,"Just some water , dude .",1
497,I told you I'd handle him .,1
498,"Listen , I've had just about enough of your comedy , clown .",1
499,"Cody , please ! You must listen !",1
500,"Come over here and nobody gets hurt . OK , OK .",1
501,Was that you ?,1
502,Just stay out of this .,1
503,Cease fire !,1
504,You are so infuriating .,1
505,"Fuck you , [PERSON] .",1
506,A lot of you incumbents will be in danger of losing your seats .,1
507,Get on out of here !,1
508,"He might win a few fights , but a Rocky Balboa he'll never be .",1
509,And one other thing :,1
510,"Could've told the truth , fucked them all , had the cigarette with me . That is such bullshit !",1
511,Father [PERSON] can't keep his hands to himself .,1
512,What are you talking about ? She doesn't have a twin sister .,1
513,"No pension plan , no insurance .",1
514,For what ?,1
515,I'm gonna kill it .,1
516,You can't do that to him .,1
517,Why don't you tell the voters what you really plan on doing with this town ?,1
518,Are you blind ?,1
519,No thanks .,1
520,Can you explain your testimony that there is more stringent posting rules for selling a motorcycle than selling a - year - old ?,1
521,Close the hatch !,1
522,This blood is mine ! Do you understand ? The blood is mine !,1
523,"Two years an apprentice , and still the nails go in crooked .",1
524,Bridge ...,1
525,"What , are you guys blind or something ?",1
526,What's your interest in this ?,1
527,"He wants you downtown , like , yesterday .",1
528,She's always in the bathroom !,1
529,I hate jumping out of a perfectly good airplane .,1
530,"Bury them for 24 , hours , give me time !",1
531,"Well , why didn't I know about that ?",1
532,So do not listen to anything,1
533,You haven't bothered to find out ?,1
534,"All right , now , send that woman and her young ' uns out !",1
535,Did you hear me ?,1
536,Lay off .,1
537,I wish I was .,1
538,Shut your mouth !,1
539,We can do better than that .,1
540,And stop fidgeting .,1
541,You son of a bitch . You amended the charges to intent ?,1
542,"In that case , why don't you go to that last table ... sit down , shut up , and don't move ?",1
543,Why didn't you think of that ?,1
544,I am not unauthorised .,1
545,I want to get away from you cops and wops and junkies .,1
546,"Hey , what the hell are you going to Frenchy movies for , anyway ?",1
547,"For God's sake , June !",1
548,You want to kill yourself ... fine with me .,1
549,"What the hell is this , [PERSON] ?",1
550,And I want [PERSON] and [PERSON] ... dead !,1
551,Don't take me like I'm some corner dealer !,1
552,Get outta the way .,1
553,I didn't like him anyway .,1
554,Get your ass movin' !,1
555,What the hell you doing ?,1
556,"Why , what is the matter with you ?",1
557,Now !,1
558,They're saying they're not responsible for what people put on their website .,1
559,You've been exploding frogs again .,1
560,"Well , I can't understand that .",1
561,"Because soon you'll be history . That's enough ! In the name of God ,",1
562,Let go of my rifle .,1
563,"Mind keeping that door closed , please ?",1
564,That decorator is harder to get an appointment with than the mayor .,1
565,I'll take control away from him .,1
566,Or what ?,1
567,I didn't ask you .,1
568,And see that you get out of town .,1
569,An executive order ...,1
570,You got a big nose and you're sticking it too far in my business .,1
571,"Well , stop it !",1
572,You've caused me enough trouble already .,1
573,My officers will not do manual labour .,1
574,You fucking lied to [PERSON] . - l didn't lie to him .,1
575,I was bored to death .,1
576,I'm gonna fuck you up .,1
577,We're going around in circles .,1
578,"It's my mission , for six months ... Shut it !",1
579,Let me finish . Of course nobody will buy it if they know it's rat .,1
580,I'm dead . I'm the walking dead . Are you gonna kill him or not ?,1
581,"If this baby comes your way , look out !",1
582,"You better start reforming , [PERSON] .",1
583,How many times do I have to tell you ? You don't know what you're dealing with .,1
584,You'll be told after you sail .,1
585,"[PERSON] fucking christ . - $ ? - Yes , sir .",1
586,I will kill you !,1
587,"Go back to your office , have a nap .",1
588,Since -- what ?,1
589,"Hey , you shut up !",1
590,What they do with the tapes is their own business .,1
591,This is not a drill .,1
592,I've told you that a dozen times .,1
593,I'm not that high .,1
594,I don't think we want to talk any more .,1
595,I'm trying to find some peace with this and you're not helping .,1
596,What the fuck are you trying to do ?,1
597,"Well , what's there to talk about ?",1
598,Shut up .,1
599,Three's hardly an army .,1
600,You can't come to my magic show .,1
601,I'm waiting .,1
602,I'm just ... so frustrated .,1
603,Leave that paintbrush here !,1
604,Mr. Land ...,1
605,"You are wrong , [PERSON] .",1
606,Scram the son of a bitch .,1
607,Don't resist us .,1
608,That's not for you to say .,1
609,Go away .,1
610,You don't park here either .,1
611,Nitrates and phosphate for ammunition ... The seeds of war .,1
612,Go get them ! No !,1
613,What the fuck ?,1
614,Tell him he's too tough for me .,1
615,I must break you .,1
616,"Like I said , good for you . But you're not going to do it with me .",1
617,Either he falls in line or I'll break him so open they won't find the pieces .,1
618,Six months ?,1
619,Hands up !,1
620,Why the hell did you think that was an appropriate thing to do ?,1
621,"Running around in that eye paint ain't gonna get you nowhere , boy .",1
622,"That's what you're living with , a couple of real boy scouts !",1
623,"And actresses are treated like I hate to use the word , but , shit .",1
624,So far you haven't given us any information,1
625,Hold him !,1
626,"Now , those were your exact instructions , [PERSON] , so don't punish Oscar for it .",1
627,You'll go too far .,1
628,Did you try to break into [PERSON]'s house the night of the murder .,1
629,She had been very abused .,1
630,I don't see how you have the gall to face me !,1
631,Hush that yowling .,1
632,I don't want to talk to him . I'll call him Monday .,1
633,[PERSON]'s no one's friend .,1
634,"Cut out all that talking , [PERSON] .",1
635,"You know , you - you could get hurt . You shouldn't go around robbing people . You could go to jail .",1
636,Especially not to throw away your career with this team .,1
637,And I stormed out .,1
638,"Anyway , when do you special intelligence officers do what you're supposed to do ?",1
639,The blood's rushing to my head .,1
640,And that they wouldn't hold Backpage responsible was very disturbing to me .,1
641,Have you seen any of these documents ?,1
642,I don't care because he sure as hell knew after .,1
643,They transform ex-civilians into men without minds .,1
644,"Be gone , Satan !",1
645,Let me talk to you . - Break it up . Move along .,1
646,I'm gonna straighten you out once and for all !,1
647,I'll fucking kill it !,1
648,You always blame me !,1
649,I could ask you the same question .,1
650,"With your popularity , you'd be out in no time .",1
651,"And if you don't take me to my hotel , that means I have to walk .",1
652,"And [PERSON] , she won't help me to solve them .",1
653,"Chill or die , asshole .",1
654,"You know , I'm not responsible for the complications of international law .",1
655,"You know , ten Colombians and Scorpios armed to fuck all .",1
656,"Cops are on strike , stupid .",1
657,Save the jokes . He wants to see you .,1
658,I don't want to hear it .,1
659,Decker's been calling again .,1
660,"They contacted me to feel me out , and to tell me what wonderful people they were , and how their founders were really cool guys from [LOCATION] , and what did I know about that .",1
661,Mind your own business .,1
662,Then I'll take her when you're dead !,1
663,You did . You killed your wife . You killed benham .,1
664,"Then there's the third murder , and we can't find any connection between this one and the first two .",1
665,You're not gonna see the sunset over there .,1
666,Somebody moved it .,1
667,Dad !,1
668,I know how you talk about me .,1
669,"Stall their deliveries , push them off the streets !",1
670,Did you hope to go unnoticed here ?,1
671,Don't start that again .,1
672,I thought you were dead . I thought I was on my own . You come prancing in here with your fancy I.D.,1
673,I don't want to hear this !,1
674,You think it's a good idea to hand me an ax right now ?,1
675,"I swear to God , if I have to cut up another body for a potion .",1
676,"At some point , she told me about this guy who used to come around to check on her .",1
677,Your parents have been calling all day long .,1
678,"You better straighten your tie , [PERSON] ! Or poppa'll spank you !",1
679,Get her .,1
680,"Acknowledge , over .",1
681,I'm not denying anything .,1
682,Who the hell are you working for ?,1
683,No more fucking tapes :,1
684,"Watch your ass , [PERSON] boy .",1
685,But it soon became obvious that the senor was only mildly interested in the available talent .,1
686,"Like I said , they'll call you if they need you .",1
687,No ! Are you crazy ?,1
688,Let me go !,1
689,No one wants to fly with you .,1
690,They got ta know [PERSON]'s gonna pull out their livers .,1
691,"I didn't ask you , [PERSON] .",1
692,I don't want to .,1
693,"cause if you take two big bites and just swallow it , It could get stuck in your throat .",1
694,The red blood lust ! What else could it be ?,1
695,I just got out of a drug clinic and you manipulate me ?,1
696,So leave us alone and anybody who wants it gets it .,1
697,Look at me !,1
698,They want names . I give them names .,1
699,"So , I'm gonna call her back , and you are going to apologize .",1
700,"I'm going to [LOCATION] with a million bucks taped to my butt unless you keep screwing around , in which case , we'll all go to jail .",1
701,"Hey , you know there was a guy in the game that accused me of juicing the deck ?",1
702,I shall not translate .,1
703,There's no fucking handle !,1
704,"Promise me that you are not a spy , and then I will make you a promise in return .",1
705,Judge [PERSON] .,1
706,"There's your answer , professor .",1
707,I think we have had enough ... Unsupported accusations for one case ... Dr. [PERSON] .,1
708,"Look , don't blame us because the warship shelled you .",1
709,What ? That I'm your little puppet ?,1
710,She's on her way . - Fine .,1
711,"An ... an accident ? Easy , [PERSON] , easy . Watch the rug .",1
712,"Hey , put the phone down !",1
713,I'll kill you .,1
714,We'll blow it open .,1
715,Little punk is lying .,1
716,"So , you're just going to let this woman blackmail you without a fight ?",1
717,You and that damn book .,1
