,sentence,emotion
66,now get the smile off your face nowget getthe thesmile smileoff offyour yourface  nowgetthe getthesmile thesmileoff smileoffyour offyourface ,1
67,enter  enter  ,1
68, was at home wth my baby mother  was wasat athome homewth wthmy mybaby babymother mother  wasat wasathome athomewth homewthmy wthmybaby mybabymother babymother ,1
69, hope you get n trouble some day  hope hopeyou youget getn ntrouble troublesome someday day  hopeyou hopeyouget yougetn getntrouble ntroublesome troublesomeday someday ,1
70,stripped of all that  no wonder they become suicidal   allthat that no nowonder  theybecome   all that allthat thatno nowonder no become they ,1
71,person shall we continue to plan  personshall shallwe wecontinue continueto toplan plan  personshallwe shallwecontinue wecontinueto continuetoplan toplan ,1
72,after them  after them  afterthem them after afterthem them  afterthem themafter afterthem afterthem ,1
73,yes  talking about honour not ideology yes talking talkingabout abouthonour honournot notideology  yestalking talkingabout talkingabouthonour abouthonournot honournotideology ,1
74,how you helped steal an election howyou youhelped helpedsteal stealan anelection  howyouhelped youhelpedsteal helpedstealan stealanelection ,1
75,give me the money giveme methe themoney  givemethe methemoney ,1
76,f by the thrd count you and your offcers are not on the way to work  wll gve the order to fre fby  thethrd thrdcount   andyour youroffcers offcersare arenot noton  theway wayto towork work wll wllgve gvethe   tofre  f thrd thethrdcount thrd and your andyouroffcers youroffcersare offcersarenot  not way thewayto  towork workwll wllgve wllgvethe gve to fre ,1
77, wll not return to prson wll wllnot notreturn returnto toprson  wllnot wllnotreturn notreturnto returntoprson ,1
78,drop it okay  dropit itokay okay  dropitokay itokay ,1
79,can  have my store back now that  gong  can have havemy    nowthat that gong gong  canhave havemy have back now that nowthat thatgong gong ,1
80,do not thnk that  do not agree wth everythng you say person but  donot notthnk thnkthat that do donot  agreewth wtheverythng everythngyou yousay   but  donotthnk notthnkthat thnkthat thatdo donot do wth agreewtheverythng wtheverythngyou everythngyousay you but  ,1
81,your whole story about how person got his name on the door is bullshit  yourwhole       hisname   thedoor  isbullshit bullshit  your about how person got his name his the door the bullshit isbullshit ,1
82,we are looters we are not murderers weare arelooters looterswe weare arenot notmurderers  wearelooters arelooterswe lootersweare wearenot arenotmurderers ,1
83,all right  go allright right go  allright rightgo ,1
84, lot of junk ll right lot lotof ofjunk junkll llright  lotof lotofjunk ofjunkll junkllright ,1
85,re you sying  insne  is tht your defense  plus she took  lot of prescription medicine reyou yousying sying insne insne is istht thtyour  defense plus   took lot lotof    reyousying yousying syinginsne insne insneis istht isthtyour tht  defenseplus  took  tooklot lotof lot medicine ,1
86,so are you but  admt t openly soare areyou youbut but admt admtt topenly  soareyou areyoubut youbut butadmt admtt admttopenly ,1
87,clowns carry horns little rubber ones clownscarry carryhorns hornslittle littlerubber rubberones  clownscarryhorns carryhornslittle hornslittlerubber littlerubberones ,1
88,for f  not physcn how s t  know tht   dyng mn  forf f not notphyscn physcnhow hows st t know knowtht tht  dyng dyngmn mn  forf fnot notphyscn notphyscnhow physcnhows howst st tknow knowtht knowtht tht dyng dyngmn dyngmn ,1
89,he could go anytime move move   couldgo goanytime anytimemove movemove move  go couldgoanytime goanytimemove anytimemovemove movemove ,1
90,mind your own business would you  mindyour yourown ownbusiness businesswould wouldyou you  mindyourown yourownbusiness ownbusinesswould businesswouldyou wouldyou ,1
91,if the rights of the individual are not respected by the group the group can not exist    ofthe   arenot        cannot   rights of the of are not are by the group the group can not can ,1
92,but  just escaped from here   you understand  but just justescaped escapedfrom fromhere here  you youunderstand understand  butjust justescaped justescapedfrom escapedfromhere fromhere here you youunderstand youunderstand ,1
93,you know what  asking youknow knowwhat what asking  youknowwhat knowwhat whatasking ,1
94, it  it it  it ,1
95, sad pay hm  sad sadpay payhm hm  sadpay sadpayhm payhm ,1
96,hell  guess so you guess so well  beautful hell guess guessso soyou youguess guessso sowell well beautful  hellguess guessso     sowell wellbeautful ,1
97,why  you like him  why you youlike likehim him  whyyou youlike youlikehim likehim ,1
98,well  there for the oil  not pretend well there  forthe  oil not   wellthere  the for  oilnot  ,1
99,you heard what she said youheard heardwhat whatshe shesaid  youheardwhat heardwhatshe whatshesaid ,1
100,what is with you  what goes with you  whatis iswith withyou you what whatgoes goeswith withyou you  whatiswith iswithyou withyou youwhat whatgoes whatgoeswith goeswithyou withyou ,1
101,no thank you no thanks nothank thankyou youno nothanks  nothankyou thankyouno younothanks ,1
102,if you want mr person to leave this house alive you must convince him  healthy and happy ifyou youwant  mrperson personto toleave  thishouse   youmust   him healthy  andhappy   you person   to house this you must you him  himhealthy  happy ,1
103,uh not very long uhnot notvery verylong  uhnotvery notverylong ,1
104,well do you plan everything  welldo doyou youplan planeverything everything  welldoyou doyouplan youplaneverything planeverything ,1
105,because  already have t because already alreadyhave havet  becausealready alreadyhave alreadyhavet ,1
106,please person ple you have to love me pleaseperson personple pleyou youhave haveto tolove loveme  pleasepersonple personpleyou pleyouhave youhaveto havetolove toloveme ,1
107,f you  promsed so fathfully   have planned the whole thng fyou you promsed promsedso sofathfully fathfully  have   thewhole wholethng  fyou youpromsed promsedso promsedsofathfully sofathfully fathfully have  the whole thewholethng ,1
108,shit  ,1
109,meanng what that  have no money    know meanngwhat whatthat that have haveno  money   know  meanngwhatthat whatthat thathave haveno have  money  know ,1
110,lieutenant what the hell is that thing  lieutenantwhat whatthe thehell hellis isthat thatthing thing  lieutenantwhatthe whatthehell thehellis hellisthat isthatthing thatthing ,1
111,you just made it up youjust justmade madeit itup  youjustmade justmadeit madeitup ,1
112,let me try letme metry  letmetry ,1
113, change the station change changethe thestation  changethe changethestation ,1
114, stay here and shoot him if he comes back stay stayhere   shoothim  ifhe hecomes   stayhere stay shoot him shoot he  he ,1
115,look if you  want me in your army kick me out but get off my back  ifyou you want wantme mein inyour yourarmy  kickme meout   getoff offmy myback  you ifyou youwant wantme    your me  me get off getoffmy offmyback ,1
116,where the hell are they  wherethe thehell hellare arethey they  wherethehell thehellare hellarethey arethey ,1
117,you made me gve up my secrets when  was feelng partcularly vulnerable youmade mademe megve gveup    when was wasfeelng feelngpartcularly partcularlyvulnerable  youmademe mademegve megveup gve secrets when  whenwas wasfeelng wasfeelngpartcularly feelngpartcularlyvulnerable ,1
118,or jeopardized our sources and methods orjeopardized jeopardizedour oursources sourcesand andmethods  orjeopardizedour jeopardizedoursources oursourcesand sourcesandmethods ,1
119,get off  outside please getoff off outside outsideplease  getoff offoutside outsideplease ,1
120,emotionlly   child emotionlly  child  emotionlly child ,1
121, wll go to the vllage to speak wth our agent because of the counts of the real estate wll wllgo goto tothe thevllage vllageto tospeak speakwth wthour    ofthe   ofthe thereal   wllgo wllgoto gotothe tothevllage thevllageto vllagetospeak tospeakwth speakwthour wth because of the of of the  the ,1
122,we were robbed  wewere wererobbed robbed  wewererobbed wererobbed ,1
123,whddy trying  to do mke it  short dy  whddytrying trying to todo domke mkeit it short shortdy dy  whddytrying tryingto todo todomke domkeit mkeit itshort shortdy shortdy ,1
124, never had anyone make me feel as cheap as you did today never neverhad   makeme mefeel feelas   asyou youdid   neverhad never make me makemefeel  feel as you  you ,1
125, the blood bone and  of this  that great men  down to the human race  the theblood   and of ofthis this that thatgreat  men down downto tothe thehuman  race  theblood the and  andof ofthis ofthis thisthat thatgreat that  mendown downto   the  ,1
126,be quiet  bequiet quiet  bequiet ,1
127,person the  ded we  hve  plintiff personthe the ded dedwe we hve hve plintiff  personthe theded dedwe dedwe wehve hve hveplintiff ,1
128,what do  care about your phlosophy of the solder  whatdo do care careabout aboutyour yourphlosophy phlosophyof ofthe thesolder solder  whatdo docare careabout  aboutyourphlosophy yourphlosophyof phlosophyofthe ofthesolder thesolder ,1
129,you dress like this you attract attention to me   likethis thisyou    tome  like this  this attention to me ,1
130,what the hell are we doing here  whatthe thehell hellare arewe wedoing doinghere here  whatthehell thehellare hellarewe arewedoing wedoinghere doinghere ,1
131,you rat  yourat rat  yourat ,1
132,the dmn nsurnce compny  cover you wthout  screen  see thedmn dmnnsurnce nsurncecompny compny cover coveryou youwthout wthout screen screen see  thedmnnsurnce dmnnsurncecompny nsurncecompny compnycover coveryou coveryouwthout youwthout wthoutscreen screen screensee ,1
133,then unless you want to spend the next years of your lfe n prson you wll do exactly what  tell you when  tell you  unlessyou youwant wantto   thenext  yearsof ofyour yourlfe lfen nprson prsonyou youwll wlldo   what tell tellyou  when tell tellyou  you  youwantto want the next the of  ofyourlfe yourlfen lfenprson nprsonyou prsonyouwll youwlldo wll what  whattell tellyou tell  whentell tellyou ,1
134,lots of votes taken but nothing has happened lotsof      hashappened  lots taken but nothing has happened ,1
135,they  shut me up you did they shut shutme meup upyou youdid  theyshut shutme shutmeup meupyou upyoudid ,1
136,oh he  do it for you person ohhe he do doit itfor foryou youperson  ohhe hedo doit  itforyou foryouperson ,1
137, still my hat you know still stillmy myhat hatyou youknow  stillmy stillmyhat myhatyou hatyouknow ,1
138,anybody can type anybodycan cantype  anybodycantype ,1
139,yeah  aware of that and they have all of them yeah aware awareof ofthat thatand  theyhave  allof ofthem  yeahaware awareof   that have they of allofthem ,1
140, had it up to here had hadit itup upto tohere  hadit haditup itupto uptohere ,1
141,you damn fool   told you to get off ths case  youdamn  fool  told toldyou youto toget getoff offths thscase case  you  fool told toldyou toldyouto youtoget  getoffths offthscase thscase ,1
142,and the other time andthe theother othertime  andtheother theothertime ,1
143,who in the hell you looking for  whoin inthe thehell hellyou youlooking lookingfor for  whointhe inthehell thehellyou hellyoulooking youlookingfor lookingfor ,1
144, you see me standing right here  you yousee seeme mestanding standingright righthere here  yousee youseeme seemestanding mestandingright standingrighthere righthere ,1
145,stay where you are  staywhere whereyou youare are  staywhereyou whereyouare youare ,1
146, am speakng strctly person am amspeakng speakngstrctly strctlyperson  amspeakng amspeakngstrctly speakngstrctlyperson ,1
147,yeah like what  yeahlike likewhat what  yeahlikewhat likewhat ,1
148, do not know  do donot notknow know  donot donotknow notknow ,1
149,that  make him yours that make makehim himyours  thatmake makehim makehimyours ,1
150, men  tlkng bout one dy of work  dy n whch  ws ted to  cctus nd ssulted by snkes men men tlkng tlkngbout boutone onedy dyof  work dy dyn nwhch whch ws wsted tedto to cctus cctusnd ndssulted ssultedby bysnkes  men mentlkng tlkngbout tlkngboutone boutonedy onedyof dy  workdy dyn dynwhch nwhch whchws wsted wstedto tedto tocctus cctusnd cctusndssulted ndssultedby ssultedbysnkes ,1
151,you realize your contacting the saucer violated our instructions          your contacting the saucer violated our instructions ,1
152,finish her  finishher her  finishher ,1
153, have him watched from now until the day he sails have    fromnow   theday     watched from now from the day the sails ,1
154, an american citizen buddy  an anamerican americancitizen citizenbuddy buddy  anamerican anamericancitizen americancitizenbuddy citizenbuddy ,1
155,well give me  coordinte  wellgive giveme me coordinte coordinte  wellgiveme giveme mecoordinte coordinte ,1
156,down with the king downwith withthe theking  downwiththe withtheking ,1
157, an't gvng you sht  sad 'd play you even  play you even an't an'tgvng gvngyou yousht sht sad sad'd 'dplay playyou youeven even play playyou youeven  an'tgvng an'tgvngyou gvngyousht yousht shtsad sad'd sad'dplay 'dplayyou playyoueven youeven evenplay playyou playyoueven ,1
158,well  no loser well no noloser  wellno noloser ,1
159,why do men think marriage is the only thing we want  whydo     isthe    wewant want  why think marriage is the is thing we want wewant ,1
160, gonna leave you do what you have to do gonna gonnaleave leaveyou youdo dowhat whatyou youhave haveto todo  gonnaleave gonnaleaveyou     youhaveto havetodo ,1
161,come on person this is no plce for  clergymn's son comeon onperson personthis thisis isno noplce plcefor for clergymn's clergymn'sson  comeonperson  personthisis thisisno isnoplce noplcefor plcefor forclergymn's clergymn'sson ,1
162, mke loction look like  little plce where the monks live mke mkeloction loctionlook looklike like little littleplce plcewhere wherethe    mkeloction mkeloctionlook loctionlooklike looklike likelittle littleplce littleplcewhere plcewherethe where live ,1
163,person  disppointed in you hiding under  nest while person needs help person disppointed disppointedin inyou youhiding  under nest   personneeds   persondisppointed disppointedin disppointedinyou  you  undernest  person needs person ,1
164,some creep got into her place and strangled her          got into her place and strangled her ,1
165, put an end to it put putan anend endto toit  putan putanend anendto endtoit ,1
166,could you guys shut up in there  couldyou youguys guysshut shutup upin inthere there  couldyouguys youguysshut guysshutup shutupin upinthere inthere ,1
167, oextry  want to see squrm oextry oextry want wantto tosee seesqurm  oextry oextrywant wantto wanttosee toseesqurm ,1
168, been running right by me all day kid been      allday    right by me all day all ,1
169,throw him in the car throwhim himin inthe thecar  throwhimin himinthe inthecar ,1
170, try to nstl them  noton of order nd method nd they lwys dspper for the br  try tryto tonstl nstlthem them noton notonof  ordernd ndmethod methodnd ndthey theylwys lwysdspper dspperfor forthe thebr br  tryto trytonstl tonstlthem nstlthem themnoton notonof noton nd orderndmethod ndmethodnd methodndthey ndtheylwys theylwysdspper lwysdspperfor dspperforthe forthebr thebr ,1
171,get it and no  get hurt getit itand andno no get gethurt  getitand itandno andno noget gethurt ,1
172, warn you colonel f  am to de others wll de before me warn warnyou youcolonel colonelf f am amto tode deothers otherswll wllde debefore   warnyou  youcolonelf colonelf fam amto amtode todeothers deotherswll otherswllde wlldebefore de ,1
173,person move it  personmove moveit it  personmoveit moveit ,1
174, want to see her want wantto tosee seeher  wantto wanttosee toseeher ,1
175,getting rped on  dily bsis by upwrds of dults  dy hving t these  grde kids ny wy they wnt gettingrped rpedon on dily dilybsis bsisby byupwrds upwrdsof ofdults dults dy dyhving hvingt tthese these grde grdekids kidsny nywy wythey theywnt  gettingrpedon rpedon ondily dilybsis dilybsisby bsisbyupwrds byupwrdsof upwrdsofdults ofdults dultsdy dyhving dyhvingt hvingtthese tthese thesegrde grdekids grdekidsny kidsnywy nywythey wytheywnt ,1
176,so f you folla us agan  chop your arms off ok  sof fyou   usagan agan chop     ok  sofyou f us agan usagan aganchop  arms off ok  ,1
177,you can tell him that for the both of us  youcan cantell tellhim himthat thatfor forthe theboth bothof ofus us  youcantell       bothofus ofus ,1
178,oh hell  ohhell hell  ohhell ,1
179,come on the whole point of these  is to sell off the  and put old  like me out to  comeon  thewhole wholepoint  ofthese these is     the and andput  old like likeme meout outto to  come whole  whole these ofthese theseis  sell off the  theand andput and  oldlike likeme   outto ,1
180,hit him  hithim him  hithim ,1
181,tell the boys nyone cught rguing with  depositor will be fired  theboys boysnyone nyonecught cughtrguing rguingwith with depositor  willbe   boys theboysnyone boysnyonecught nyonecughtrguing cughtrguingwith rguingwith withdepositor  be will ,1
182,  let person lve lke ths  let letperson personlve lvelke lkeths  let letperson letpersonlve personlvelke lvelkeths ,1
183,you gve him  plne without checking with opertions  yougve gvehim him plne plnewithout   withopertions opertions  yougvehim gvehim himplne plnewithout plne with opertions withopertions ,1
184,the devil with him  thedevil devilwith withhim him  thedevilwith devilwithhim withhim ,1
185,well  better be if  gonna remain anything at all well better   if gonna   anythingat atall  wellbetter  if  ifgonna  anything at anythingatall ,1
186,just let my man shoot here okay  just take it easy on this   myman    okay just justtake takeit iteasy  onthis  my man my here okay  okayjust justtake  takeiteasy it this ,1
187,or did you think to find me grown gray completely   didyou youthink thinkto tofind findme    completely  you didyouthink   tofindme find gray completely  ,1
188,no get away from her you fucking old bitch   getaway awayfrom fromher heryou youfucking   bitch  away getawayfrom awayfromher fromheryou  you bitch  ,1
189,shoot lieutenant shootlieutenant  ,1
190,turn all of that administrative bullshit to mac turnall allof ofthat thatadministrative administrativebullshit bullshitto tomac  turnallof allofthat ofthatadministrative thatadministrativebullshit administrativebullshitto bullshittomac ,1
191,the bsence of  pln is ridiculous thebsence bsenceof of pln plnis isridiculous  thebsenceof bsenceof ofpln plnis plnisridiculous ,1
192,you also said you had money youalso alsosaid saidyou youhad hadmoney  youalsosaid alsosaidyou saidyouhad youhadmoney ,1
193, do not peek do donot notpeek  donot donotpeek ,1
194,no decide already  nodecide decidealready already  nodecidealready decidealready ,1
195, sure gonna bear down on me sure suregonna gonnabear beardown downon onme  suregonna suregonnabear gonnabeardown beardownon downonme ,1
196,bastard  bastard  ,1
197,not another word  notanother anotherword word  notanotherword anotherword ,1
198,get on  geton on  geton ,1
199,let me in  letme mein in  letmein mein ,1
200,he blows it heblows blowsit  heblowsit ,1
201,ka rumph  we were smashed to port karumph rumph we wewere weresmashed smashedto toport  karumph rumphwe wewere weweresmashed weresmashedto smashedtoport ,1
202,why  you help me  why you youhelp helpme me  whyyou youhelp youhelpme helpme ,1
203,this  your personal little war you know this your  personallittle littlewar  youknow  thisyour  little personallittlewar little know ,1
204, sad t damn you sad sadt tdamn damnyou  sadt sadtdamn tdamnyou ,1
205,you play you pay youplay playyou youpay  youplayyou playyoupay ,1
206,nd you  give    for his chnces the wy he kept dmitting over nd over tht he killed the old ldy ndyou you give give   for forhis hischnces chncesthe thewy wyhe  keptdmitting dmittingover overnd ndover overtht ththe hekilled killedthe theold oldldy  ndyou yougive give give  for forhis forhischnces hischncesthe chncesthewy thewyhe wy dmitting keptdmittingover dmittingovernd overndover ndovertht overththe ththekilled   theoldldy ,1
207,fuck  fuck  ,1
208,well for  sake  my account wellfor for sake sake my myaccount  wellfor forsake sake sakemy myaccount ,1
209, what  always talking about helping other people out  what what always  talkingabout     out  what whatalways  about talking other people out  ,1
210,tell them to open the door  tellthem themto toopen openthe thedoor door  tellthemto themtoopen toopenthe openthedoor thedoor ,1
211, can smoke you out of there easy can cansmoke smokeyou youout outof ofthere thereeasy  cansmoke cansmokeyou smokeyouout yououtof outofthere ofthereeasy ,1
212,fuck off person fuckoff offperson  fuckoffperson ,1
213,once  out of here never come back  once out outof ofhere herenever nevercome comeback back  onceout outof outofhere ofherenever herenevercome nevercomeback comeback ,1
214,you  know  you know know  youknow know ,1
215, not talking about him not nottalking talkingabout abouthim  nottalking nottalkingabout talkingabouthim ,1
216,we hve  democrtic process where ll these sort of sensitive issues will be hndled leglly we do not wehve hve democrtic democrticprocess  wherell llthese  sortof    willbe behndled hndledleglly legllywe wedo donot  wehve hvedemocrtic democrticprocess democrtic ll wherellthese ll of sort issues will be willbehndled behndledleglly hndledlegllywe legllywedo  ,1
217,sweet musical person  your friend  sweetmusical musicalperson person your yourfriend friend  sweetmusicalperson musicalperson personyour yourfriend yourfriend ,1
218,kaili  ,1
219,this report  no thisreport report no  thisreport reportno ,1
220,why  you try it  why you youtry tryit it  whyyou youtry youtryit tryit ,1
221,things like that are none of our business thingslike likethat  arenone noneof ofour ourbusiness  thingslikethat like none arenoneof noneofour ofourbusiness ,1
222,in fact we have so much evidence that dr  person person who was in charge of proect blue book for the air force stated that  an  of  infact factwe wehave haveso somuch   thatdr dr person personperson personwho whowas wasin incharge chargeof ofproect proectblue   forthe     that an an of of      so that dr thatdr drperson personperson     inchargeof chargeofproect ofproectblue proect for the for force stated that  thatan an anof of ,1
223, hurry up and bury this bastard  fucking knackered hurry hurryup upand    bastard fucking   hurryup  up this bastard  bastardfucking  ,1
224, take orders all right take takeorders ordersall allright  takeorders takeordersall ordersallright ,1
225, know everythng person know knoweverythng everythngperson  knoweverythng knoweverythngperson ,1
226,but  crime ws committed here nd  going fter her for it but crime crimews wscommitted  herend nd going goingfter fterher  forit  butcrime crimews crimewscommitted ws nd herend ndgoing goingfter goingfterher fter it ,1
227,you know the rules about smoking youknow knowthe therules rulesabout aboutsmoking  youknowthe knowtherules therulesabout rulesaboutsmoking ,1
228,you protest too much youprotest protesttoo toomuch  youprotesttoo protesttoomuch ,1
229,and now  lost it andnow now lost lostit  andnow nowlost lostit ,1
230,why have you no hangover  whyhave haveyou youno nohangover hangover  whyhaveyou haveyouno younohangover nohangover ,1
231,get out getout  ,1
232,you do it gin nd you lose  limb youdo doit itgin ginnd ndyou youlose lose limb  youdoit doitgin itginnd ginndyou ndyoulose youlose loselimb ,1
233,what the hell is going on here person  whatthe thehell hellis isgoing goingon onhere hereperson person  whatthehell thehellis hellisgoing isgoingon goingonhere onhereperson hereperson ,1
234,yeah well person is the only name  got yeahwell wellperson personis isthe  onlyname name got    personisthe is name onlyname namegot ,1
235,if you ever hd  sense of humor when you finish testifying ifyou youever everhd hd sense senseof ofhumor  whenyou youfinish    youeverhd everhd hdsense senseof senseofhumor of you  you ,1
236,god it was bright godit itwas wasbright  goditwas itwasbright ,1
